habit_id,habit_name,category,description,time_required,difficulty
1,Утренняя медитация,Ментальное здоровье,"Начинайте день с 5-10 минут медитации для улучшения фокуса и снижения стресса",5-15 минут,Легко
2,Ежедневное ведение дневника,Ментальное здоровье,"Записывайте свои мысли и чувства в течение 5-10 минут каждый день",5-15 минут,Легко
3,Практика благодарности,Ментальное здоровье,"Записывайте 3 вещи, за которые вы благодарны каждый день",5 минут,Легко
4,Час цифрового детокса,Ментальное здоровье,"Выделите 1 час в день без экранов и цифровых устройств",60 минут,Средне
5,Осознанная прогулка,Ментальное здоровье,"Совершайте 15-минутную прогулку, концентрируясь на окружении и ощущениях",15 минут,Легко
6,Ежедневная тренировка,Физическое здоровье,"Выполняйте 15-30 минутную домашнюю тренировку",15-30 минут,Средне
7,Растяжка,Физическое здоровье,"Выполняйте 10-15 минутный комплекс растяжки",10-15 минут,Легко
8,Отслеживание гидратации,Физическое здоровье,"Отслеживайте ежедневное потребление воды для обеспечения достаточной гидратации",5 минут,Легко
9,Планирование питания,Физическое здоровье,"Тратьте 15 минут на планирование здорового питания на следующий день",15 минут,Средне
10,Режим сна,Физическое здоровье,"Поддерживайте постоянное время сна и пробуждения",5 минут,Средне
11,Техника Помодоро,Продуктивность,"Работайте с фокусировкой 25 минут с 5-минутными перерывами",30 минут,Средне
12,Ежедневная приоритезация,Продуктивность,"Определяйте 3 самые важные задачи каждое утро",5-10 минут,Легко
13,Пакетная обработка почты,Продуктивность,"Проверяйте и отвечайте на почту только в определенное время дня",15-30 минут,Средне
14,Еженедельный обзор,Продуктивность,"Просмотрите свой прогресс и спланируйте предстоящую неделю",30 минут,Средне
15,Блок глубокой работы,Продуктивность,"Планируйте ежедневно период работы без отвлечений",60 минут,Сложно
16,Отслеживание бюджета,Финансы,"Отслеживайте ежедневные расходы",5-10 минут,Средне
17,Финансовый обзор,Финансы,"Еженедельно просматривайте свои расходы и цели по сбережениям",15-30 минут,Средне
18,День без трат,Финансы,"Назначьте один день в неделю днем без трат",5 минут,Сложно
19,Автоматическое сбережение,Финансы,"Настройте автоматические переводы в сбережения в день зарплаты",5 минут,Легко
20,Сравнение цен,Финансы,"Сравнивайте цены перед покупками свыше определенной суммы",15 минут,Средне
21,Активное слушание,Отношения,"Практикуйте внимательное слушание без перебивания",15 минут,Средне
22,Выражение признательности,Отношения,"Ежедневно выражайте благодарность или признательность кому-то из вашей жизни",5 минут,Легко
23,Общение без гаджетов,Отношения,"Проводите личные беседы без устройств",30-60 минут,Средне
24,Разрешение конфликтов,Отношения,"Решайте конфликты своевременно с использованием «Я-высказываний»",15-30 минут,Сложно
25,Качественное время,Отношения,"Планируйте посвященное важным людям в вашей жизни время",30-60 минут,Средне 