Ваш возраст,Ваш пол,Какие привычки у вас уже есть? (Можно выбрать несколько),Что вы хотите улучшить? (Можно выбрать несколько),Сколько времени готовы тратить ежедневно на новую привычку?,Какое время суток предпочитаете для выполнения привычки?,Что мешает вам внедрять новые привычки? (Можно выбрать несколько):
18-25,Женский,Здоровое питание;Регулярные тренировки;Чтение;Медитация;Ранний подъем,Физическое здоровье;Продуктивность,15 минут,Утро,Нехватка времени
18-25,Женский,Регулярные тренировки,Ментальное здоровье;Продуктивность,30 минут,Утро,"Непонятно, с чего начать"
18-25,Мужской,Чтение;Ранний подъем,Ментальное здоровье;Продуктивность;Отношения,5 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Здоровое питание;Ранний подъем,Физическое здоровье;Ментальное здоровье,15 минут,Утро,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,правильное распределение времени/следование ежедневному плану и заполнение этого плана на каждый день,Физическое здоровье;Ментальное здоровье;Финансы,15 минут,День,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Здоровое питание;Регулярные тренировки;Чтение;Медитация,Продуктивность,1 час,Вечер,Нехватка времени
18-25,Мужской,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,30 минут,Вечер,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки;Чтение;Медитация,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Не важно,"Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,15 минут,Не важно,Нет мотивации
18-25,Мужской,Здоровое питание;Регулярные тренировки,Продуктивность,30 минут,День,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки,Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,День,"Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки,Финансы,1 час,Не важно,"Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,30 минут,Утро,Нехватка времени
<18,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Продуктивность,>1 часа,Утро,Нехватка времени;Страх неудачи
18-25,Женский,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,Утро,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки;Чтение,Ментальное здоровье;Продуктивность;Отношения,30 минут,Утро,Нехватка времени;Нет мотивации
18-25,Женский,Чтение,Продуктивность;Финансы,30 минут,Вечер,Нет мотивации
18-25,Женский,Здоровое питание;Регулярные тренировки;Чтение,Физическое здоровье;Ментальное здоровье;Финансы,15 минут,Утро,Нехватка времени
18-25,Женский,Здоровое питание;Регулярные тренировки;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,1 час,Вечер,Нехватка времени;Страх неудачи
18-25,Женский,Чтение,Физическое здоровье;Продуктивность,30 минут,День,Нехватка времени;Нет мотивации
18-25,Мужской,Здоровое питание;Регулярные тренировки;Чтение,Физическое здоровье;Продуктивность;Финансы,30 минут,Вечер,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Регулярные тренировки,Продуктивность;Финансы,15 минут,Вечер,"Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Регулярные тренировки;Ранний подъем,Физическое здоровье;Продуктивность;Финансы,15 минут,Не важно,"Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы;Отношения,5 минут,Вечер,Нехватка времени;Нет мотивации;Страх неудачи
18-25,Женский,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы;Отношения,30 минут,Вечер,Нехватка времени;Нет мотивации
36-45,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,1 час,Утро,"Непонятно, с чего начать"
<18,Женский,Ранний подъем;,Продуктивность;,30 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Регулярные тренировки;Чтение,Физическое здоровье;Продуктивность,5 минут,Утро,"Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки;Медитация,Ментальное здоровье;Продуктивность,>1 часа,Не важно,Нехватка времени
18-25,Мужской,Регулярные тренировки;Чтение;Медитация,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,Не важно,"Нехватка времени;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,15 минут,Вечер,Нет мотивации
18-25,Мужской,Регулярные тренировки,Ментальное здоровье,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Чтение,Физическое здоровье;Продуктивность;Отношения,>1 часа,Не важно,"Нехватка времени;Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,5 минут,Вечер,"Нехватка времени;Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Чтение,Ментальное здоровье;Финансы,15 минут,Утро,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность,15 минут,День,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Чтение;лежать на кровати,Физическое здоровье;Продуктивность;Отношения,30 минут,День,Нехватка времени;Нет мотивации;Лень мой враг
18-25,Женский,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Финансы,15 минут,Утро,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Чтение,Физическое здоровье;Продуктивность;Финансы,5 минут,Утро,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Регулярные тренировки;Медитация;Пить побольше воды,Физическое здоровье;Ментальное здоровье;Продуктивность,15 минут,Утро,Нет мотивации;Лень
18-25,Мужской,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Не важно,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,30 минут,День,Нет мотивации
18-25,Женский,Регулярные тренировки;Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Финансы,15 минут,Утро,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,нету,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Утро,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки,Физическое здоровье;Финансы,1 час,Не важно,Нет мотивации
<18,Мужской,Медитация,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,Вечер,Нехватка времени;Нет мотивации
18-25,Мужской,Рефлексия,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Не важно,Нехватка времени
18-25,Мужской,Здоровое питание;Регулярные тренировки,Продуктивность;Финансы;Отношения,30 минут,Вечер,Нехватка времени;Нет мотивации
18-25,Мужской,Чтение,Продуктивность;Финансы;Отношения,30 минут,День,Нехватка времени;Нет мотивации
18-25,Мужской,Здоровое питание;Чтение,Ментальное здоровье;Продуктивность;Отношения,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Ранний подъем,Ментальное здоровье;Продуктивность,30 минут,Не важно,"Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки;ведение ежедневника,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Утро,"Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,"Регулярные тренировки;""рано"" (5 утра) ложусь",Продуктивность,15 минут,Вечер,Нет мотивации
18-25,Женский,Здоровое питание,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,>1 часа,Не важно,"Нет мотивации;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание,Физическое здоровье;Продуктивность;Финансы,15 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,15 минут,Утро,Нет мотивации
18-25,Мужской,Здоровое питание;Ранний подъем,Физическое здоровье;Отношения,30 минут,Утро,"Непонятно, с чего начать"
26-35,Мужской,Регулярные тренировки;Чтение;Ранний подъем,Физическое здоровье;Продуктивность;Финансы;Отношения,30 минут,Утро,"Непонятно, с чего начать;Страх неудачи"
18-25,Мужской,Нет,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Не важно,"Нехватка времени;Нет мотивации;Непонятно, с чего начать;Страх неудачи"
26-35,Женский,Ранний подъем;Ранний подъем в будние дни. Стараюсь пить чистую воду в течения дня,Физическое здоровье;Продуктивность,15 минут,Вечер,"Нехватка времени;Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Мужской,Регулярные тренировки,Физическое здоровье;Продуктивность,15 минут,Вечер,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Мужской,Чтение,Физическое здоровье;Ментальное здоровье;Отношения,15 минут,Вечер,Нехватка времени;Нет мотивации
18-25,Мужской,Чтение;Гигиена лица по утрам и вечерам,Ментальное здоровье;Продуктивность;Финансы,5 минут,Утро,Нехватка времени
18-25,Мужской,Регулярные тренировки;Ранний подъем,Физическое здоровье;Продуктивность;Финансы,>1 часа,Не важно,"Нет мотивации;Непонятно, с чего начать;Страх неудачи"
26-35,Мужской,Здоровое питание;Регулярные тренировки;Чтение,Ментальное здоровье;Продуктивность,15 минут,День,"Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность,30 минут,Утро,"Непонятно, с чего начать;Страх неудачи"
<18,Женский,Ранний подъем,Ментальное здоровье,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
<18,Женский,Ранний подъем,Физическое здоровье;Продуктивность,30 минут,Вечер,Нехватка времени;Нет мотивации
<18,Женский,Регулярные тренировки;Чтение,Продуктивность;Отношения,15 минут,Вечер,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки;Ранний подъем,Ментальное здоровье;Продуктивность;Финансы,1 час,Вечер,Нехватка времени;Нет мотивации
18-25,Женский,Чтение;Ранний подъем,Ментальное здоровье;Продуктивность,30 минут,Вечер,Нет мотивации
26-35,Женский,Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,15 минут,Утро,Нехватка времени
18-25,Женский,Здоровое питание,Физическое здоровье;Ментальное здоровье;Продуктивность,30 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,"Здоровое питание;Регулярные тренировки, ",Продуктивность;Финансы,5 минут,Вечер,Нет мотивации;Лень
36-45,Мужской,Регулярные тренировки;английский,Физическое здоровье;Ментальное здоровье;Продуктивность,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Чтение;,Финансы,1 час,Вечер,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Регулярные тренировки;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Ранний подъем,Ментальное здоровье;Финансы;Отношения,30 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,15 минут,Утро,Нет мотивации
26-35,Женский,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Отношения,15 минут,Не важно,Нехватка времени
36-45,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Утро,"Нехватка времени;Нет мотивации;Непонятно, с чего начать"
26-35,Мужской,Регулярные тренировки;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,1 час,Вечер,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Ранний подъем;,Физическое здоровье;Ментальное здоровье,30 минут,Утро,"Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Чтение,Физическое здоровье;Финансы,15 минут,День,"Непонятно, с чего начать"
46+,Женский,Ранний подъем,Финансы,15 минут,Утро,Нехватка времени
18-25,Женский,Регулярные тренировки;Ранний подъем,Ментальное здоровье;Финансы;Отношения,15 минут,Вечер,"Нехватка времени;Непонятно, с чего начать"
<18,Мужской,Ранний подъем,Физическое здоровье;Продуктивность,15 минут,Не важно,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки;Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность,>1 часа,Вечер,"Нехватка времени;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Утро,"Нехватка времени;Непонятно, с чего начать"
46+,Мужской,Здоровое питание,Физическое здоровье,5 минут,День,"Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки;Чтение,Ментальное здоровье;Финансы,15 минут,Вечер,Нехватка времени;Нет мотивации
18-25,Женский,Регулярные тренировки;Чтение,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,Здоровое питание;Регулярные тренировки;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,>1 часа,Вечер,Нехватка времени;Нет мотивации
18-25,Женский,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,15 минут,Не важно,Нехватка времени
46+,Мужской,Ранний подъем,Физическое здоровье;Продуктивность;Финансы,30 минут,Не важно,"Непонятно, с чего начать"
18-25,Мужской,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Отношения,30 минут,Вечер,Нехватка времени
<18,Мужской,Регулярные тренировки;,Физическое здоровье;Финансы,30 минут,День,"Непонятно, с чего начать"
<18,Женский,Регулярные тренировки,Финансы;Отношения,30 минут,День,"Нет мотивации;Непонятно, с чего начать"
18-25,Женский,Чтение,Физическое здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нет мотивации;Непонятно, с чего начать"
<18,Женский,Чтение,Физическое здоровье;Продуктивность;Финансы;Отношения,1 час,Вечер,"Нехватка времени;Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Мужской,Регулярные тренировки;Медитация,Ментальное здоровье;Продуктивность,5 минут,Утро,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание;Регулярные тренировки;Ранний подъем,Продуктивность;Финансы,30 минут,Вечер,Нехватка времени